"","x"
"263",7.39
"264",7.73
"265",8.23
"266",8.06
"267",7.86
"268",8.06
"269",8.4
"270",8.43
"271",8.14
"272",8.05
"273",8
"274",7.74
"275",7.79
"276",7.73
"277",7.56
"278",7.9
"279",7.86
"280",7.83
"281",7.77
"282",7.59
"283",7.41
"284",7.29
"285",6.87
"286",7.21
"287",7.39
"288",7.46
"289",7.37
"290",7.46
"291",7.28
"292",7.33
"293",7.4
"294",7.34
"295",7.52
"296",7.58
"297",7.69
"298",7.96
"299",8.03
"300",8.04
"301",8.15
"302",8.35
"303",8.46
"304",8.64
"305",8.41
"306",8.42
"307",8.64
"308",8.81
"309",9.01
"310",9.1
"311",9.1
"312",9.12
"313",9.18
"314",9.25
"315",8.91
"316",8.95
"317",9.03
"318",9.33
"319",10.3
"320",10.65
"321",10.39
"322",10.8
"323",12.41
"324",12.75
"325",11.47
"326",10.18
"327",9.78
"328",10.25
"329",11.1
"330",11.51
"331",11.75
"332",12.68
"333",12.84
"334",12.57
"335",13.19
"336",13.12
"337",13.68
"338",14.1
"339",13.47
"340",14.28
"341",14.94
"342",15.32
"343",15.15
"344",13.39
"345",13.72
"346",14.59
"347",14.43
"348",13.86
"349",13.87
"350",13.62
"351",14.3
"352",13.95
"353",13.06
"354",12.34
"355",10.91
"356",10.55
"357",10.54
"358",10.46
"359",10.72
"360",10.51
"361",10.4
"362",10.38
"363",10.85
"364",11.38
"365",11.85
"366",11.65
"367",11.54
"368",11.69
"369",11.83
"370",11.67
"371",11.84
"372",12.32
"373",12.63
"374",13.41
"375",13.56
"376",13.36
"377",12.72
"378",12.52
"379",12.16
"380",11.57
"381",11.5
"382",11.38
"383",11.51
"384",11.86
"385",11.43
"386",10.85
"387",10.16
"388",10.31
"389",10.33
"390",10.37
"391",10.24
"392",9.78
"393",9.26
"394",9.19
"395",8.7
"396",7.78
"397",7.3
"398",7.71
"399",7.8
"400",7.3
"401",7.17
"402",7.45
"403",7.43
"404",7.25
"405",7.11
"406",7.08
"407",7.25
"408",7.25
"409",8.02
"410",8.61
"411",8.4
"412",8.45
"413",8.76
"414",9.42
"415",9.52
"416",8.86
"417",8.99
"418",8.67
"419",8.21
"420",8.37
"421",8.72
"422",9.09
"423",8.92
"424",9.06
"425",9.26
"426",8.98
"427",8.8
"428",8.96
"429",9.11
"430",9.09
"431",9.17
"432",9.36
"433",9.18
"434",8.86
"435",8.28
"436",8.02
"437",8.11
"438",8.19
"439",8.01
"440",7.87
"441",7.84
"442",8.21
"443",8.47
"444",8.59
"445",8.79
"446",8.76
"447",8.48
"448",8.47
"449",8.75
"450",8.89
"451",8.72
"452",8.39
"453",8.08
"454",8.09
"455",7.85
"456",8.11
"457",8.04
"458",8.07
"459",8.28
"460",8.27
"461",7.9
"462",7.65
"463",7.53
"464",7.42
"465",7.09
"466",7.03
"467",7.34
"468",7.54
"469",7.48
"470",7.39
"471",7.26
"472",6.84
"473",6.59
"474",6.42
"475",6.59
"476",6.87
"477",6.77
"478",6.6
"479",6.26
"480",5.98
"481",5.97
"482",6.04
"483",5.96
"484",5.81
"485",5.68
"486",5.36
"487",5.33
"488",5.72
"489",5.77
"490",5.75
"491",5.97
"492",6.48
"493",6.97
"494",7.18
"495",7.1
"496",7.3
"497",7.24
"498",7.46
"499",7.74
"500",7.96
"501",7.81
"502",7.78
"503",7.47
"504",7.2
"505",7.06
"506",6.63
"507",6.17
"508",6.28
"509",6.49
"510",6.2
"511",6.04
"512",5.93
"513",5.71
"514",5.65
"515",5.81
"516",6.27
"517",6.51
"518",6.74
"519",6.91
"520",6.87
"521",6.64
"522",6.83
"523",6.53
"524",6.2
"525",6.3
"526",6.58
"527",6.42
"528",6.69
"529",6.89
"530",6.71
"531",6.49
"532",6.22
"533",6.3
"534",6.21
"535",6.03
"536",5.88
"537",5.81
"538",5.54
"539",5.57
"540",5.65
"541",5.64
"542",5.65
"543",5.5
"544",5.46
"545",5.34
"546",4.81
"547",4.53
"548",4.83
"549",4.65
"550",4.72
"551",5
"552",5.23
"553",5.18
"554",5.54
"555",5.9
"556",5.79
"557",5.94
"558",5.92
